id;type;date;appointment_hour;start_time;place;result;score_for;score_against;opponent_id;calendar_id
1;CHAMPIONSHIP;2020-01-15;2020-01-15T20:00:00;2020-01-15T20:30:00;Parc des princes;0;0;0;1;1
2;FRIENDSHIP;2020-02-15;2020-02-15T20:00:00;2020-02-15T20:30:00;Stade Velodrome;0;0;0;2;1
3;CHAMPIONSHIP;2020-03-15;2020-03-15T20:00:00;2020-03-15T20:30:00;Groupama Stadium;0;0;0;3;1
4;FRIENDSHIP;2020-04-15;2020-04-15T20:00:00;2020-04-15T20:30:00;Camp nou;0;0;0;4;2
5;CHAMPIONSHIP;2020-05-15;2020-05-15T20:00:00;2020-05-15T20:30:00;Santiago Bernabeu;0;0;0;5;2
6;CHAMPIONSHIP;2020-06-14;2020-06-14T20:00:00;2020-06-14T20:30:00;Stade la Mosson;0;0;0;7;2
7;CHAMPIONSHIP;2020-11-20;2020-11-20T20:00:00;2020-11-20T20:30:00;Stade Velodrome;0;0;0;8;3
8;FRIENDSHIP;2020-10-18;2020-10-18T20:00:00;2020-10-18T20:30:00;Parc des princes;0;0;0;9;3
9;CHAMPIONSHIP;2020-08-12;2020-08-12T20:00:00;2020-08-12T20:30:00;Stade Velodrome;0;0;0;10;3
10;CUP;2020-03-02;2020-03-02T20:00:00;2020-03-02T20:30:00;Parc des princes;0;0;0;1;4
